delivery_id,po_id,delivery_date,delivery_status
8001,11660,2023-10-23 20:25:35,On Time
8002,8749,2023-02-24 22:53:02,On Time
8003,9546,2024-01-05 11:01:43,On Time
8004,7733,2023-02-21 14:04:52,Delayed
8005,6873,2023-07-08 00:49:54,On Time
8006,9721,2023-02-05 00:43:17,On Time
8007,6970,2024-02-02 14:49:26,Early
8008,14077,2024-01-17 21:11:56,On Time
8009,5319,2023-11-25 18:27:57,Early
8010,8718,2023-03-11 08:45:39,Delayed
8011,10492,2023-07-25 14:26:00,On Time
8012,6375,2024-08-24 22:33:17,On Time
8013,10443,2024-11-25 13:31:54,Early
8014,13680,2023-07-27 08:48:03,On Time
8015,5451,2024-04-23 04:31:54,On Time
8016,13545,2024-05-18 16:30:01,Delayed
8017,12181,2024-03-11 08:01:37,On Time
8018,6941,2023-07-27 21:00:40,Delayed
8019,7368,2023-02-13 00:21:23,On Time
8020,12888,2023-08-21 20:59:31,On Time
8021,5248,2024-07-04 06:25:13,On Time
8022,8504,2024-01-10 15:08:16,On Time
8023,13760,2023-10-23 14:15:09,On Time
8024,13876,2024-03-23 14:37:05,Delayed
8025,13836,2024-08-14 04:49:15,Delayed
8026,5479,2024-02-11 12:50:58,Delayed
8027,7761,2023-12-25 02:57:26,On Time
8028,12969,2023-01-10 07:02:03,On Time
8029,10941,2023-06-04 02:40:24,Early
8030,9453,2024-06-14 07:24:43,On Time
8031,6369,2023-01-17 22:37:24,On Time
8032,7227,2023-08-08 00:39:31,On Time
8033,8613,2024-07-29 22:23:08,On Time
8034,10563,2024-10-21 23:53:53,On Time
8035,6060,2023-06-09 02:33:33,Delayed
8036,6645,2024-06-06 10:23:24,Delayed
8037,10266,2024-09-18 16:13:17,On Time
8038,6812,2023-10-19 02:43:59,Delayed
8039,7194,2023-03-28 07:59:50,On Time
8040,5168,2023-06-10 04:51:49,On Time
8041,12443,2023-02-28 14:12:43,On Time
8042,9183,2023-01-17 09:31:39,On Time
8043,13346,2023-10-16 19:49:43,On Time
8044,7545,2023-07-15 20:27:53,Delayed
8045,8869,2023-12-03 10:44:52,Delayed
8046,13507,2024-02-23 19:25:14,On Time
8047,10951,2023-04-19 20:07:48,On Time
8048,13915,2023-03-17 21:27:06,On Time
8049,7310,2023-05-10 02:23:46,On Time
8050,11631,2023-02-16 04:29:58,On Time
8051,11687,2024-07-02 09:27:40,Delayed
8052,7024,2024-09-09 19:15:56,Delayed
8053,5350,2024-05-04 04:46:44,On Time
8054,14016,2023-12-06 12:23:50,Delayed
8055,13630,2023-02-06 09:22:06,On Time
8056,13361,2024-01-02 09:46:25,Delayed
8057,12954,2024-07-11 22:42:00,On Time
8058,8302,2023-03-28 14:50:00,On Time
8059,9119,2023-08-24 20:03:08,On Time
8060,11820,2023-04-24 10:52:24,Early
8061,7770,2023-06-04 06:15:08,On Time
8062,9500,2023-10-11 16:30:04,On Time
8063,7181,2024-11-17 15:22:12,On Time
8064,8346,2024-06-20 01:19:25,On Time
8065,7666,2023-12-22 18:09:29,On Time
8066,13424,2023-11-10 19:37:47,Delayed
8067,14251,2023-09-17 23:17:12,On Time
8068,7543,2023-03-26 09:22:08,Early
8069,14326,2023-07-28 06:28:33,On Time
8070,10441,2023-09-24 18:39:53,On Time
8071,13149,2024-01-19 03:36:52,On Time
8072,12111,2024-02-18 07:53:24,On Time
8073,8881,2023-02-26 22:34:29,On Time
8074,7738,2023-05-31 16:09:33,On Time
8075,7432,2023-10-24 20:29:11,Delayed
8076,6388,2024-03-28 05:08:11,Delayed
8077,14630,2024-08-30 01:12:48,Delayed
8078,8366,2024-09-18 21:47:21,Delayed
8079,14922,2023-05-08 01:54:03,On Time
8080,7440,2025-01-10 00:30:00,On Time
8081,6317,2024-05-29 02:49:23,Delayed
8082,10205,2024-01-02 12:21:59,On Time
8083,10005,2024-09-10 02:20:11,On Time
8084,5685,2023-06-11 20:24:46,Delayed
8085,11441,2023-09-10 23:50:36,On Time
8086,8088,2023-06-13 16:51:39,On Time
8087,14868,2024-03-25 15:27:48,On Time
8088,7114,2023-07-11 03:49:36,Delayed
8089,5958,2024-03-05 20:50:05,On Time
8090,10779,2023-01-19 11:12:08,On Time
8091,13080,2024-03-05 05:44:23,On Time
8092,11029,2024-01-07 06:59:32,On Time
8093,10701,2023-03-26 03:17:49,On Time
8094,8095,2023-10-24 18:52:46,On Time
8095,7808,2024-04-09 11:04:42,Delayed
8096,12583,2023-03-20 18:33:01,On Time
8097,14013,2023-09-11 15:45:39,Early
8098,5888,2023-08-14 18:33:35,On Time
