quality_id,vendor_id,quality_score,inspection_date
7001,1049,70.46,2024-11-29 08:00:13
7002,1180,89.44,2024-02-13 07:43:48
7003,1327,65.69,2024-03-07 06:39:08
7004,1160,90.03,2023-07-09 05:08:11
7005,1106,70.16,2023-07-17 07:39:27
7006,1311,98.97,2024-07-02 06:05:13
7007,1113,82.64,2024-01-08 06:10:27
7008,1250,65.37,2023-11-28 23:32:46
7009,1018,93.91,2023-07-31 14:47:14
7010,1123,93.46,2024-01-24 21:46:11
7011,1470,91.34,2023-01-10 09:42:50
7012,1443,83.56,2023-09-02 06:27:48
7013,1285,72.54,2023-01-07 05:47:42
7014,1160,87.08,2024-02-20 03:49:52
7015,1182,94.26,2024-08-08 14:34:04
7016,1497,82.01,2023-08-02 06:02:02
7017,1084,67.32,2024-09-25 18:52:51
7018,1287,98.65,2023-12-25 09:47:54
7019,1171,88.35,2023-01-17 20:49:28
7020,1169,98.88,2024-05-30 21:53:59
7021,1392,71.45,2023-04-30 05:32:52
7022,1299,72.02,2023-05-10 05:44:33
7023,1484,68.47,2023-01-01 09:57:59
7024,1435,72.26,2023-10-08 16:11:56
7025,1136,68.74,2024-11-05 01:05:59
7026,1125,74.42,2023-10-22 06:08:52
7027,1009,85.02,2023-01-19 01:17:14
7028,1078,93.28,2024-01-27 19:18:18
7029,1430,68.32,2023-12-29 06:27:50
7030,1033,70.44,2024-03-22 12:47:12
7031,1314,75.0,2024-01-12 10:13:50
7032,1079,76.84,2023-04-27 18:23:49
7033,1222,95.68,2024-05-02 22:58:01
7034,1350,72.82,2023-11-09 02:02:50
7035,1232,69.41,2024-09-10 12:09:44
7036,1415,95.14,2024-01-13 21:52:10
7037,1453,95.45,2024-05-14 12:26:46
7038,1083,92.09,2024-03-24 10:43:48
7039,1304,78.16,2023-02-13 02:15:33
7040,1362,96.49,2024-06-20 17:04:29
7041,1139,80.16,2023-10-24 04:09:00
7042,1384,92.31,2024-08-29 15:55:10
7043,1485,80.0,2023-03-17 20:34:30
7044,1330,81.63,2023-04-17 10:58:20
7045,1368,94.68,2023-05-30 08:58:12
7046,1128,65.03,2023-07-02 10:51:55
7047,1356,74.45,2023-10-03 11:36:12
7048,1417,87.21,2024-03-21 22:44:33
